,.SPXTR,.SPXTR,.SPXTR,.SPXTR,.SPXTR,.SPX,.SPX,.SPX,.SPX,.SPX
,LOW_1,TRDPRC_1,HIGH_1,OPEN_PRC,ACVOL_UNS,LOW_1,TRDPRC_1,HIGH_1,OPEN_PRC,ACVOL_UNS
Date,,,,,,,,,,
2005-02-28,1762.7568,1792.6307,1804.1676,1767.7869,0,,,,,
2005-03-31,1737.9353,1760.8868,1825.7035,1802.7935,0,,,,,
2005-04-30,1697.7435,1727.4905,1777.3517,1749.4521,0,,,,,
2005-05-31,1725.154,1782.4568,1793.3427,1735.428,0,,,,,
2005-06-30,1783.4541,1784.9873,1822.352,1799.1469,0,,,,,
2005-07-31,1789.8489,1851.3678,1865.6369,1789.8489,0,,,,,
2005-08-31,1810.5185,1834.476,1868.0566,1853.1276,0,,,,,
2005-09-30,1820.4907,1849.3341,1866.7415,1836.3698,,,,,,
2005-10-31,1772.3553,1818.5043,1846.1662,1846.1662,,,,,,
2005-11-30,1812.1093,1887.284,1914.4048,1812.1093,,,,,,
2005-12-31,1887.9409,1887.9409,1923.4349,1910.2321,,,,,,
2006-01-31,1909.3459,1937.9295,1958.557,1918.9586,,,,,,
2006-02-28,1900.5805,1943.1876,1963.5835,1941.7513,,,,,,
2006-03-31,1931.7329,1967.3755,1985.6878,1959.7649,,,,,,
2006-04-30,1954.248,1993.7931,1994.2266,1971.9248,,,,,,
2006-05-31,1914.3806,1936.4089,2017.336,1985.5541,,,,,,
2006-06-30,1866.9178,1939.0341,1964.1065,1960.2844,,,,,,
2006-07-31,1885.8225,1950.995,1954.4896,1954.4896,,,,,,
2006-08-31,1936.2979,1997.4153,1998.0755,1942.2187,,,,,,
2006-09-30,1982.9305,2048.8886,2053.9323,2008.4663,,,,,,
2006-10-31,2041.9921,2115.6539,2132.3856,2041.9921,,,,,,
2006-11-30,2095.68,2155.8852,2162.6496,2100.3648,,,,,,
2006-12-31,2149.8494,2186.1274,2199.1531,2149.8494,,,,,,
